date,hour,energy_kWh
2015-01-30,00,0.72
2015-01-30,01,0.59
2015-01-30,02,0.56
2015-01-30,03,0.53
2015-01-30,04,0.72
2015-01-30,05,0.44
2015-01-30,06,0.51
2015-01-30,07,1.3
2015-01-30,08,1.16
2015-01-30,09,0.51
2015-01-30,10,0.39
2015-01-30,11,0.34
2015-01-30,12,0.37
2015-01-30,13,0.4
2015-01-30,14,0.35
2015-01-30,15,0.34
2015-01-30,16,0.43
2015-01-30,17,1.4
2015-01-30,18,2.2
2015-01-30,19,2.52
2015-01-30,20,2.15
2015-01-30,21,1.68
2015-01-30,22,1.02
2015-01-30,23,0.75
2015-01-31,00,0.63
2015-01-31,01,0.59
2015-01-31,02,0.41
2015-01-31,03,0.59
2015-01-31,04,0.41
2015-01-31,05,0.43
2015-01-31,06,0.42
2015-01-31,07,0.47
2015-01-31,08,0.86
2015-01-31,09,0.85
2015-01-31,10,0.79
2015-01-31,11,0.88
2015-01-31,12,1.1
2015-01-31,13,1
2015-01-31,14,0.72
2015-01-31,15,0.71
2015-01-31,16,1.58
2015-01-31,17,1.33
2015-01-31,18,0.97
2015-01-31,19,0.96
2015-01-31,20,1.44
2015-01-31,21,2.98
2015-01-31,22,0.86
2015-01-31,23,0.67
2015-02-01,00,
2015-02-01,01,
2015-02-01,02,
2015-02-01,03,
2015-02-01,04,
2015-02-01,05,
2015-02-01,06,
2015-02-01,07,
2015-02-01,08,
2015-02-01,09,
2015-02-01,10,
2015-02-01,11,
2015-02-01,12,
2015-02-01,13,
2015-02-01,14,
2015-02-01,15,0.87
2015-02-01,16,1.22
2015-02-01,17,1.51
2015-02-01,18,1.51
2015-02-01,19,1.67
2015-02-01,20,2.56
2015-02-01,21,2.97
2015-02-01,22,2.94
2015-02-01,23,1.09
2015-02-02,00,0.87
2015-02-02,01,0.44
2015-02-02,02,0.5
2015-02-02,03,0.48
2015-02-02,04,0.44
2015-02-02,05,0.43
2015-02-02,06,0.46
2015-02-02,07,4.93
2015-02-02,08,1.21
2015-02-02,09,0.44
2015-02-02,10,0.39
2015-02-02,11,0.44
2015-02-02,12,0.55
2015-02-02,13,0.38
2015-02-02,14,0.44
2015-02-02,15,0.45
2015-02-02,16,0.36
2015-02-02,17,5.28
2015-02-02,18,2.07
2015-02-02,19,1.1
2015-02-02,20,1.1
2015-02-02,21,0.77
2015-02-02,22,0.96
2015-02-02,23,1.29
2015-02-03,00,1.01
2015-02-03,01,0.87
2015-02-03,02,0.57
2015-02-03,03,0.54
2015-02-03,04,0.75
2015-02-03,05,0.39
2015-02-03,06,0.41
2015-02-03,07,1.33
2015-02-03,08,1.28
2015-02-03,09,1.12
2015-02-03,10,0.97
2015-02-03,11,0.8
2015-02-03,12,0.8
2015-02-03,13,0.93
2015-02-03,14,0.8
2015-02-03,15,0.76
2015-02-03,16,
2015-02-03,17,1.99
2015-02-03,18,1.82
2015-02-03,19,1.32
2015-02-03,20,1
2015-02-03,21,0.78
2015-02-03,22,0.63
2015-02-03,23,0.54
2015-02-04,00,0.61
2015-02-04,01,0.82
2015-02-04,02,0.79
2015-02-04,03,0.45
2015-02-04,04,0.4
2015-02-04,05,0.43
2015-02-04,06,0.52
2015-02-04,07,4.11
2015-02-04,08,1.41
2015-02-04,09,0.56
2015-02-04,10,0.57
2015-02-04,11,0.57
2015-02-04,12,0.59
2015-02-04,13,0.52
2015-02-04,14,0.56
2015-02-04,15,0.66
2015-02-04,16,1.43
2015-02-04,17,5.28
2015-02-04,18,2.86
2015-02-04,19,2
2015-02-04,20,1.57
2015-02-04,21,1.72
2015-02-04,22,1.22
2015-02-04,23,0.98
2015-02-05,00,0.58
2015-02-05,01,0.44
2015-02-05,02,0.42
2015-02-05,03,0.64
2015-02-05,04,0.46
2015-02-05,05,0.4
2015-02-05,06,0.51
2015-02-05,07,1.88
2015-02-05,08,1.02
2015-02-05,09,0.42
2015-02-05,10,0.42
2015-02-05,11,0.4
2015-02-05,12,0.44
2015-02-05,13,0.78
2015-02-05,14,0.76
2015-02-05,15,0.62
2015-02-05,16,0.67
2015-02-05,17,1.84
2015-02-05,18,2.82
2015-02-05,19,2.38
2015-02-05,20,1.77
2015-02-05,21,1.43
2015-02-05,22,0.99
2015-02-05,23,1.08
2015-02-06,00,0.89
2015-02-06,01,0.68
2015-02-06,02,0.41
2015-02-06,03,0.42
2015-02-06,04,0.55
2015-02-06,05,0.66
2015-02-06,06,0.81
