date,hour,energy_kWh
2015-03-16,00,3.33
2015-03-16,01,0.81
2015-03-16,02,0.54
2015-03-16,03,0.54
2015-03-16,04,0.51
2015-03-16,05,0.53
2015-03-16,06,0.84
2015-03-16,07,1.96
2015-03-16,08,5.38
2015-03-16,09,6.34
2015-03-16,10,6.13
2015-03-16,11,2.76
2015-03-16,12,2.36
2015-03-16,13,1.40
2015-03-16,14,1.40
2015-03-16,15,1.55
2015-03-16,16,1.60
2015-03-16,17,1.72
2015-03-16,18,2.00
2015-03-16,19,2.07
2015-03-16,20,1.45
2015-03-16,21,1.89
2015-03-16,22,2.00
2015-03-16,23,0.84
2015-03-17,00,0.71
2015-03-17,01,0.71
2015-03-17,02,0.61
2015-03-17,03,0.79
2015-03-17,04,0.67
2015-03-17,05,0.69
2015-03-17,06,1.01
2015-03-17,07,2.53
2015-03-17,08,2.51
2015-03-17,09,3.01
2015-03-17,10,1.48
2015-03-17,11,1.23
2015-03-17,12,0.91
2015-03-17,13,1.02
2015-03-17,14,1.04
2015-03-17,15,1.78
2015-03-17,16,3.51
2015-03-17,17,2.53
2015-03-17,18,2.33
2015-03-17,19,2.49
2015-03-17,20,2.06
2015-03-17,21,1.54
2015-03-17,22,1.33
2015-03-17,23,1.37
2015-03-18,00,1.34
2015-03-18,01,2.33
2015-03-18,02,0.78
2015-03-18,03,0.55
2015-03-18,04,0.50
2015-03-18,05,0.56
2015-03-18,06,0.55
2015-03-18,07,1.59
2015-03-18,08,3.16
2015-03-18,09,2.28
2015-03-18,10,2.19
2015-03-18,11,2.93
2015-03-18,12,2.55
2015-03-18,13,3.20
2015-03-18,14,2.17
2015-03-18,15,1.78
2015-03-18,16,2.00
2015-03-18,17,1.37
2015-03-18,18,1.13
2015-03-18,19,1.49
2015-03-18,20,2.22
2015-03-18,21,2.17
2015-03-18,22,1.95
2015-03-18,23,2.04
2015-03-19,00,0.95
2015-03-19,01,0.71
2015-03-19,02,0.68
2015-03-19,03,0.71
2015-03-19,04,0.76
2015-03-19,05,0.75
2015-03-19,06,1.61
2015-03-19,07,1.97
2015-03-19,08,2.57
2015-03-19,09,6.64
2015-03-19,10,3.16
2015-03-19,11,2.28
2015-03-19,12,2.07
2015-03-19,13,3.68
2015-03-19,14,4.36
2015-03-19,15,2.11
2015-03-19,16,2.19
2015-03-19,17,2.25
2015-03-19,18,2.11
2015-03-19,19,2.14
2015-03-19,20,1.98
2015-03-19,21,2.02
2015-03-19,22,1.67
2015-03-19,23,1.66
2015-03-20,00,0.74
2015-03-20,01,0.68
