date,hour,energy_kWh
2015-09-29,00,0.81
2015-09-29,01,0.3
2015-09-29,02,0.98
2015-09-29,03,1.77
2015-09-29,04,2.66
2015-09-29,05,2.7
2015-09-29,06,2.92
2015-09-29,07,3
2015-09-29,08,0.51
2015-09-29,09,0.3
2015-09-29,10,0.28
2015-09-29,11,0.56
2015-09-29,12,0.58
2015-09-29,13,0.53
2015-09-29,14,0.89
2015-09-29,15,1.15
2015-09-29,16,0.98
2015-09-29,17,0.86
2015-09-29,18,0.87
2015-09-29,19,0.88
2015-09-29,20,0.86
2015-09-29,21,0.82
2015-09-29,22,1.15
2015-09-29,23,0.94
2015-09-30,00,0.72
2015-09-30,01,0.33
2015-09-30,02,0.92
2015-09-30,03,2.18
2015-09-30,04,3.11
2015-09-30,05,3.32
2015-09-30,06,3.47
2015-09-30,07,3.41
2015-09-30,08,1.95
2015-09-30,09,0.83
2015-09-30,10,0.41
2015-09-30,11,0.62
2015-09-30,12,0.63
2015-09-30,13,0.67
2015-09-30,14,0.77
2015-09-30,15,0.45
2015-09-30,16,0.56
2015-09-30,17,0.64
2015-09-30,18,0.51
2015-09-30,19,0.62
2015-09-30,20,0.38
2015-09-30,21,0.5
2015-09-30,22,0.8
2015-09-30,23,0.77
2015-10-01,00,0.54
2015-10-01,01,0.31
2015-10-01,02,0.8
2015-10-01,03,1.25
2015-10-01,04,2.65
2015-10-01,05,1.91
2015-10-01,06,2.72
2015-10-01,07,2.63
2015-10-01,08,1.28
2015-10-01,09,0.38
2015-10-01,10,0.41
2015-10-01,11,0.54
2015-10-01,12,1.27
2015-10-01,13,0.81
2015-10-01,14,0.65
2015-10-01,15,0.68
2015-10-01,16,0.58
2015-10-01,17,0.73
2015-10-01,18,0.78
2015-10-01,19,0.69
2015-10-01,20,0.55
2015-10-01,21,0.89
2015-10-01,22,0.85
2015-10-01,23,0.84
2015-10-02,00,0.53
2015-10-02,01,0.27
2015-10-02,02,0.31
2015-10-02,03,1.13
2015-10-02,04,2.7
2015-10-02,05,2.52
2015-10-02,06,2.16
2015-10-02,07,3.37
2015-10-02,08,2.19
2015-10-02,09,1.86
2015-10-02,10,1.7
2015-10-02,11,1.2
2015-10-02,12,1.09
2015-10-02,13,1.12
2015-10-02,14,0.39
2015-10-02,15,2.71
2015-10-02,16,0.47
2015-10-02,17,0.54
2015-10-02,18,0.68
2015-10-02,19,0.82
2015-10-02,20,0.7
2015-10-02,21,0.61
2015-10-02,22,0.85
2015-10-02,23,1.31
2015-10-03,00,0.66
